# z rho mu P theta
143.286 6.40836e-07 4.97108e-09 0 270
143.286 5.0748e-07 5.04438e-09 0 270
143.813 5.0748e-07 5.04438e-09 0 270
143.813 3.84559e-07 5.11194e-09 0 270
144.339 3.84559e-07 5.11194e-09 0 270
144.339 2.73292e-07 5.1731e-09 0 270
144.866 2.73292e-07 5.1731e-09 0 270
144.866 1.74556e-07 5.22737e-09 0 270
145.393 1.74556e-07 5.22737e-09 0 270
145.393 8.89002e-08 5.27445e-09 0 270
145.919 8.89002e-08 5.27445e-09 0 270
145.919 1.66023e-08 5.31418e-09 0 270
146.446 1.66023e-08 5.31418e-09 0 270
146.446 -4.22758e-08 5.34655e-09 0 270
146.973 -4.22758e-08 5.34655e-09 0 270
146.973 -8.78155e-08 5.37158e-09 0 270
147.499 -8.78155e-08 5.37158e-09 0 270
147.499 -1.20171e-07 5.38936e-09 0 270
148.026 -1.20171e-07 5.38936e-09 0 270
148.026 -1.39503e-07 5.39999e-09 0 270
148.553 -1.39503e-07 5.39999e-09 0 270
148.553 -1.45933e-07 5.40352e-09 0 270
149.079 -1.45933e-07 5.40352e-09 0 270
149.079 -1.39503e-07 5.39999e-09 0 270
149.606 -1.39503e-07 5.39999e-09 0 270
149.606 -1.20171e-07 5.38936e-09 0 270
150.132 -1.20171e-07 5.38936e-09 0 270
150.132 -8.78155e-08 5.37158e-09 0 270
150.659 -8.78155e-08 5.37158e-09 0 270
150.659 -4.22758e-08 5.34655e-09 0 270
151.186 -4.22758e-08 5.34655e-09 0 270
151.186 1.66023e-08 5.31418e-09 0 270
151.712 1.66023e-08 5.31418e-09 0 270
151.712 8.89002e-08 5.27445e-09 0 270
152.239 8.89002e-08 5.27445e-09 0 270
152.239 1.74556e-07 5.22737e-09 0 270
152.766 1.74556e-07 5.22737e-09 0 270
152.766 2.73292e-07 5.1731e-09 0 270
153.292 2.73292e-07 5.1731e-09 0 270
153.292 3.84559e-07 5.11194e-09 0 270
153.819 3.84559e-07 5.11194e-09 0 270
153.819 5.0748e-07 5.04438e-09 0 270
154.346 5.0748e-07 5.04438e-09 0 270
154.346 6.40836e-07 4.97108e-09 0 270
154.872 6.40836e-07 4.97108e-09 0 270
154.872 7.83059e-07 4.89291e-09 0 270
155.399 7.83059e-07 4.89291e-09 0 270
155.399 9.32264e-07 4.8109e-09 0 270
155.925 9.32264e-07 4.8109e-09 0 270
155.925 1.0863e-06 4.72623e-09 0 270
156.452 1.0863e-06 4.72623e-09 0 270
156.452 1.2036e-06 4.66176e-09 0 270
156.715 1.2036e-06 4.66176e-09 0 270
156.715 1.31218e-06 4.60208e-09 0 270
157.183 1.31218e-06 4.60208e-09 0 270
